service_id,date,exception_type
C98928K1HCNR-0041,20250626,1
C98928K1HCNR-0041,20250630,1
C98929K1PPNR-0041,20250627,1
C98959RN0HCNR-0011,20250626,1
C98968AHCSzN-031,20250616,1
C98968AHCSzN-031,20250617,1
C98968AHCSzN-031,20250618,1
C98968AHCSzN-031,20250619,1
C98969APPSzN-031,20250620,1
C98970ASZSzN-031,20250621,1
C98970ASZSzN-031,20250628,1
C98970ASZSzN-031,20250705,1
C98970ASZSzN-031,20250712,1
C98970ASZSzN-031,20250719,1
C98970ASZSzN-031,20250726,1
C98971AVVSzN-031,20250615,1
C98971AVVSzN-031,20250622,1
C98971AVVSzN-031,20250629,1
C98971AVVSzN-031,20250706,1
C98971AVVSzN-031,20250713,1
C98971AVVSzN-031,20250720,1
C98971AVVSzN-031,20250727,1
C98972K1HPSzN-031,20250623,1
C98972K1HPSzN-031,20250624,1
C98972K1HPSzN-031,20250625,1
C98972K1HPSzN-031,20250626,1
C98972K1HPSzN-031,20250627,1
C98973K2HPSzN-031,20250630,1
C98973K2HPSzN-031,20250701,1
C98973K2HPSzN-031,20250702,1
C98973K2HPSzN-031,20250703,1
C98973K2HPSzN-031,20250704,1
C98973K2HPSzN-031,20250707,1
C98973K2HPSzN-031,20250708,1
C98973K2HPSzN-031,20250709,1
C98973K2HPSzN-031,20250710,1
C98973K2HPSzN-031,20250711,1
C98973K2HPSzN-031,20250714,1
C98973K2HPSzN-031,20250715,1
C98973K2HPSzN-031,20250716,1
C98973K2HPSzN-031,20250717,1
C98973K2HPSzN-031,20250718,1
C98973K2HPSzN-031,20250721,1
C98973K2HPSzN-031,20250722,1
C98973K2HPSzN-031,20250723,1
C98973K2HPSzN-031,20250724,1
C98973K2HPSzN-031,20250725,1
C98973K2HPSzN-031,20250728,1
C98973K2HPSzN-031,20250729,1
C98973K2HPSzN-031,20250730,1
C98973K2HPSzN-031,20250731,1
C98973K2HPSzN-031,20250801,1
C99002AHCMAA-171,20250616,1
C99002AHCMAA-171,20250617,1
C99002AHCMAA-171,20250618,1
C99002AHCMAA-171,20250619,1
C99005AHCMAA-031,20250616,1
C99005AHCMAA-031,20250617,1
C99005AHCMAA-031,20250618,1
C99005AHCMAA-031,20250619,1
C99008H2VVNDO-011,20250615,1
C99014RKAHPLE-0041,20250626,1
C99016RK2HPMAA-011,20250701,1
C99016RK2HPMAA-011,20250702,1
C99016RK2HPMAA-011,20250703,1
C99016RK2HPMAA-011,20250704,1
C99016RK2HPMAA-011,20250725,1
C99016RK2HPMAA-011,20250728,1
C99016RK2HPMAA-011,20250729,1
C99016RK2HPMAA-011,20250730,1
C99016RK2HPMAA-011,20250731,1
C99022AHPLL-0011,20250616,1
C99022AHPLL-0011,20250617,1
C99022AHPLL-0011,20250618,1
C99022AHPLL-0011,20250619,1
C99023K1HPLL-0011,20250625,1
C99023K1HPLL-0011,20250626,1
C99023K1HPLL-0011,20250630,1
C99023K1HPLL-0011,20250701,1
C99023K1HPLL-0011,20250702,1
